,RegionName,State_x,Date,Price,County,State_y,Housing Inventory,State,UnemploymentRate
239,Sacramento County,CA,2018-05,368808,Sacramento County,CA,5010,CA,3.3
240,Contra Costa County,CA,2018-05,693392,Contra Costa County,CA,3262,CA,2.8
241,Fresno County,CA,2018-05,254167,Fresno County,CA,2123,CA,6.9
242,Kern County,CA,2018-05,217618,Kern County,CA,3096,CA,7.6
243,Ventura County,CA,2018-05,603602,Ventura County,CA,2906,CA,3.1
244,San Francisco County,CA,2018-05,1397702,San Francisco County,CA,1158,CA,2.1
245,San Mateo County,CA,2018-05,1437104,San Mateo County,CA,1172,CA,1.9
246,San Joaquin County,CA,2018-05,361284,San Joaquin County,CA,2343,CA,5.3
247,Stanislaus County,CA,2018-05,310998,Stanislaus County,CA,1732,CA,6
248,Sonoma County,CA,2018-05,670385,Sonoma County,CA,1099,CA,2.4
249,Tulare County,CA,2018-05,216704,Tulare County,CA,1675,CA,8.6
250,Santa Barbara County,CA,2018-05,627772,Santa Barbara County,CA,1743,CA,3.1
251,Monterey County,CA,2018-05,568435,Monterey County,CA,1121,CA,5.2
252,Solano County,CA,2018-05,435194,Solano County,CA,854,CA,3.4
253,Placer County,CA,2018-05,500817,Placer County,CA,2198,CA,2.7
254,San Luis Obispo County,CA,2018-05,615015,San Luis Obispo County,CA,1111,CA,2.5
255,Santa Cruz County,CA,2018-05,880850,Santa Cruz County,CA,691,CA,4.4
256,Merced County,CA,2018-05,262032,Merced County,CA,1022,CA,7.8
257,Marin County,CA,2018-05,1180370,Marin County,CA,584,CA,2.1
258,Butte County,CA,2018-05,297987,Butte County,CA,761,CA,4.3
259,Yolo County,CA,2018-05,456325,Yolo County,CA,534,CA,3.6
260,El Dorado County,CA,2018-05,467846,El Dorado County,CA,1506,CA,3.1
261,Shasta County,CA,2018-05,263637,Shasta County,CA,800,CA,4.3
262,Imperial County,CA,2018-05,208906,Imperial County,CA,341,CA,16.9
263,Kings County,CA,2018-05,218026,Kings County,CA,478,CA,6.9
264,Madera County,CA,2018-05,268545,Madera County,CA,921,CA,6.5
265,Napa County,CA,2018-05,686410,Napa County,CA,404,CA,2.4
266,Humboldt County,CA,2018-05,324044,Humboldt County,CA,462,CA,3
267,Nevada County,CA,2018-05,464888,Nevada County,CA,1242,CA,3.1
268,Sutter County,CA,2018-05,297539,Sutter County,CA,400,CA,6.9
269,Mendocino County,CA,2018-05,417313,Mendocino County,CA,646,CA,3.2
270,Yuba County,CA,2018-05,266713,Yuba County,CA,485,CA,5.6
271,Lake County,CA,2018-05,248908,Lake County,CA,759,CA,4.5
